"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"landscapetools","landscapetools","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5.0",NA,"R (>= 3.1.0)","ggplot2, raster, tibble, Rcpp","Rcpp","testthat, covr, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"later","later","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3.0",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"latticeExtra","latticeExtra","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.6-29",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer",NA,"maps, mapproj, deldir, tripack, quantreg, zoo, MASS, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.4"
"lava","lava","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.6.10",NA,"R (>= 3.0)","future.apply, progressr, grDevices, graphics, methods,
numDeriv, stats, survival, SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
geepack, gof (>= 0.9), graph, knitr, bookdown, rmarkdown,
igraph (>= 0.6), lava.tobit (>= 0.4.7), lavaSearch2, lme4,
magrittr, mets (>= 1.1), nlme, optimx, polycor, quantreg, rgl,
R.rsp (>= 0.40), testthat (>= 0.11), visNetwork, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"lavaan","lavaan","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.6-11",NA,"R(>= 3.4)","methods, stats4, stats, utils, graphics, MASS, mnormt,
pbivnorm, numDeriv",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"lazyeval","lazyeval","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"leafem","leafem","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.0",NA,"R (>= 3.1.0)","base64enc, geojsonsf, htmltools (>= 0.3), htmlwidgets, leaflet
(>= 2.0.1), methods, raster, sf, png",NA,"clipr, leafgl, mapdeck, plainview, rgdal, stars",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"leaflet","leaflet","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.1.1",NA,"R (>= 3.1.0)","base64enc, crosstalk, htmlwidgets (>= 1.5.4), htmltools,
magrittr, markdown, methods, png, RColorBrewer, raster, scales
(>= 1.0.0), sp, stats, viridis (>= 0.5.1), leaflet.providers
(>= 1.8.0)",NA,"knitr, maps, sf (>= 0.9-6), shiny, rgdal, rgeos, R6, RJSONIO,
purrr, testthat (>= 3.0.0), s2",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"leaflet.esri","leaflet.esri","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.0",NA,"R (>= 3.1.0), leaflet (>= 2.0.0), leaflet.extras (>= 1.0.0)","htmltools",NA,"htmlwidgets",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"leaflet.extras","leaflet.extras","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.0",NA,"R (>= 3.1.0), leaflet (>= 2.0.0)","htmlwidgets, htmltools, stringr, magrittr",NA,"jsonlite, readr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"leaflet.extras2","leaflet.extras2","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.0",NA,"R (>= 3.1.0), leaflet (>= 2.0.0)","htmltools, magrittr, utils",NA,"jsonlite, shiny, sf, geojsonsf, sp, testthat (>= 2.1.0),
fontawesome, htmlwidgets, covr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"leaflet.providers","leaflet.providers","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.9.0",NA,"R (>= 2.10)",NA,NA,"V8, jsonlite, testthat (>= 2.1.0)",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"leafpop","leafpop","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.0",NA,NA,"base64enc, brew, htmltools, htmlwidgets, sf, svglite, uuid",NA,"lattice, leaflet (>= 2.0.0), sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"leafsync","leafsync","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.0",NA,"R (>= 3.1.0), methods","htmltools (>= 0.3), htmlwidgets, leaflet (>= 2.0.1)",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"leaps","leaps","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.1",NA,"",NA,NA,"biglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"LearnBayes","LearnBayes","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.15.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"lessR","lessR","C:/Users/sarah.salois/Documents/r/win-library/4.0","4.1.7",NA,"R (>= 3.5.0)","graphics, grDevices, stats, utils, methods, lattice,
latticeExtra, robustbase, ellipse, leaps, openxlsx, colorspace,
shiny, knitr, viridisLite",NA,"KernSmooth, rmarkdown, wesanderson, haven, readODS, triangle",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"lhs","lhs","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.5",NA,"R (>= 3.4.0)","Rcpp","Rcpp","testthat, assertthat, DoE.base, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"librarian","librarian","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.8.1",NA,"R (>= 3.5.0)","BiocManager, remotes, tools, utils",NA,"testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"lifecycle","lifecycle","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.1",NA,"R (>= 3.3)","glue, rlang (>= 0.4.10)",NA,"covr, crayon, lintr, tidyverse, knitr, rmarkdown, testthat
(>= 3.0.1), tools, tibble, vctrs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"linprog","linprog","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.9-4",NA,"R (>= 2.4.0), lpSolve",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"listenv","listenv","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.8.0",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.5"
"listviewer","listviewer","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.0.0",NA,NA,"htmltools, htmlwidgets, shiny",NA,"jsonlite, miniUI, rstudioapi","reactR","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"lme4","lme4","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1-29",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"lmerTest","lmerTest","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.1-3",NA,"R (>= 3.2.5), lme4 (>= 1.1-10), stats, methods","numDeriv, MASS, ggplot2",NA,"pbkrtest (>= 0.4-3), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"lmtest","lmtest","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.9-40",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"loa","loa","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.47.1",NA,"R (>= 3.5.0), lattice","methods, MASS, grid, png, RgoogleMaps, OpenStreetMap, sp,
rgdal, RColorBrewer, mgcv, plyr",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"loder","loder","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.0",NA,NA,NA,NA,"testthat, covr",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"yes","4.0.5"
"logitnorm","logitnorm","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.8.38",NA,"",NA,NA,"RUnit, knitr, markdown, ggplot2, reshape2",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"lomb","lomb","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.1.0",NA,NA,"ggplot2, gridExtra, plotly, pracma",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"loo","loo","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.5.1",NA,"R (>= 3.1.2)","checkmate, matrixStats (>= 0.52), parallel, stats",NA,"bayesplot (>= 1.7.0), brms (>= 2.10.0), ggplot2, graphics,
knitr, rmarkdown, rstan, rstanarm (>= 2.19.0), rstantools,
spdep, testthat (>= 2.1.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"lpSolve","lpSolve","C:/Users/sarah.salois/Documents/r/win-library/4.0","5.6.15",NA,NA,NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.0.3"
"lubridate","lubridate","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.7.10",NA,"methods, R (>= 3.2)","generics, Rcpp (>= 0.12.13)","Rcpp","covr, knitr, testthat (>= 2.1.0), vctrs (>= 0.3.0), rmarkdown","chron, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.4"
"lwgeom","lwgeom","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2-8",NA,"R (>= 3.3.0)","Rcpp, units, sf (>= 0.9-3)","Rcpp, sf (>= 0.6-0)","covr, sp, geosphere, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"magic","magic","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.6-0",NA,"R (>= 2.10), abind",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"magick","magick","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.7.3",NA,NA,"Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, gapminder, IRdisplay, tesseract
(>= 2.0), gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"magrittr","magrittr","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"mapdata","mapdata","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.3.0",NA,"R (>= 2.14.0), maps (>= 2.0-7)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"mapproj","mapproj","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.8",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","4.0.5"
"maps","maps","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.3.0",NA,"R (>= 3.0.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.4"
"maptools","maptools","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1-4",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)","gpclib","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"mapview","mapview","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.11.0",NA,"methods, R (>= 3.6.0)","base64enc, htmltools, htmlwidgets, lattice, leafem, leaflet
(>= 2.0.0), leafpop, png, raster, satellite, scales (>= 0.2.5),
servr, sf, sp, webshot",NA,"covr, knitr, later, leaflet.extras2, leafsync, lwgeom,
mapdeck, plainview, poorman, rgdal, rmarkdown, rstudioapi, s2,
stars, tinytest",NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"margins","margins","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.26",NA,NA,"utils, stats, prediction (>= 0.3.6), data.table, graphics,
grDevices, MASS",NA,"methods, knitr, rmarkdown, testthat, ggplot2, gapminder,
sandwich, stargazer, lme4","AER, betareg, nnet, ordinal, survey","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"markdown","markdown","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1",NA,"R (>= 2.11.1)","utils, xfun, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"markovchain","markovchain","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.8.6",NA,"R (>= 3.6.0), methods","igraph, Matrix, matlab, expm, stats4, parallel, Rcpp (>=
1.0.2), RcppParallel, utils, stats, grDevices","Rcpp, RcppParallel, RcppArmadillo (>= 0.9.600.4.0)","knitr, testthat, diagram, DiagrammeR, msm, Rsolnp, rmarkdown,
ctmcd, bookdown, rticles","etm","GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"marmap","marmap","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.6",NA,"R (>= 2.10)","DBI, RSQLite, gdistance, geosphere, sp, raster, ncdf4,
plotrix, shape, reshape2, adehabitatMA, ggplot2, methods",NA,"maps, mapdata, lattice, mapproj, R.rsp",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"MARSS","MARSS","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.11.4",NA,"R (>= 3.5.0)","graphics, grDevices, KFAS (>= 1.0.1), mvtnorm, nlme, stats,
utils",NA,"broom, forecast, Formula, ggplot2, gridExtra, Hmisc, lattice,
lme4, maps, Matrix, stringr, survival, tidyr, xtable, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"MASS","MASS","C:/Users/sarah.salois/Documents/r/win-library/4.0","7.3-56","recommended","R (>= 3.3.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"matlab","matlab","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.2",NA,"R (>= 2.15)","methods",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"Matrix","Matrix","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3-4","recommended","R (>= 3.5.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.0.5"
"MatrixModels","MatrixModels","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5-0",NA,"R (>= 3.0.1)","stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"matrixStats","matrixStats","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.61.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.5"
"mc2d","mc2d","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1-22",NA,"R (>= 2.10.0), mvtnorm","stats, grDevices, graphics, utils",NA,"fitdistrplus, survival, testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"mclust","mclust","C:/Users/sarah.salois/Documents/r/win-library/4.0","5.4.9",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"measurements","measurements","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4.0",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"memoise","memoise","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"mgcv.helper","mgcv.helper","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.9",NA,NA,"dplyr, mgcv, magrittr, tibble, stats",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"mgcViz","mgcViz","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.9",NA,"R (>= 3.4), mgcv (>= 1.8-28), qgam (>= 1.2.3), ggplot2","gamm4, matrixStats, viridis, GGally, KernSmooth, gridExtra,
plyr, shiny, miniUI",NA,"rgl, knitr, rmarkdown, testthat, MASS, webshot2",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"mime","mime","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.0.5"
"miniUI","miniUI","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"minqa","minqa","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"misc3d","misc3d","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.9-1",NA,NA,"grDevices, graphics, stats, tcltk",NA,"rgl, tkrplot, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.0.5"
"mitools","mitools","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.4",NA,NA,"DBI, methods, stats",NA,"RODBC, foreign",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"mmand","mmand","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.6.2",NA,NA,"methods, Rcpp","Rcpp","loder, tinytest, covr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"mnormt","mnormt","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.0.2",NA,"R (>= 2.2.0)","tmvnsim (>= 1.0-2)",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"modeldata","modeldata","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.1",NA,"R (>= 2.10)",NA,NA,"covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"ModelMetrics","ModelMetrics","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"modelr","modelr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.8",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.4"
"modeltime","modeltime","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.0",NA,"R (>= 3.5.0)","StanHeaders, timetk (>= 2.8.0), parsnip (>= 0.2.1), dials,
yardstick (>= 0.0.8), workflows (>= 0.1.3), hardhat, rlang (>=
0.1.2), glue, plotly, reactable, gt, ggplot2, tibble, tidyr,
dplyr, purrr, stringr, forcats, scales, janitor, parallel,
doParallel, foreach, magrittr, forecast, xgboost (>= 1.2.0.1),
prophet, methods, cli",NA,"rstan, slider, sparklyr, tidymodels, workflowsets, recipes,
rsample, tune (>= 0.2.0), tidyverse, lubridate, progress,
testthat, roxygen2, kernlab, glmnet, thief, smooth, greybox,
earth, randomForest, tidyquant, trelliscopejs, knitr, rmarkdown
(>= 2.9), webshot, qpdf, covr, TSrepr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"monmlp","monmlp","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.5",NA,"optimx",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"Morpho","Morpho","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.9",NA,"R (>= 3.2.0)","Rvcg (>= 0.7), rgl (>= 0.100.18), foreach (>= 1.4.0), Matrix
(>= 1.0-1), MASS, parallel, doParallel (>= 1.0.6), colorRamps,
Rcpp, graphics, grDevices, methods, stats, utils, jsonlite,
bezier","Rcpp, RcppArmadillo (>= 0.4)","car, lattice, shapes, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"msme","msme","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5.3",NA,"R (>= 2.10), MASS, lattice",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"multicool","multicool","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1-12",NA,"methods, Rcpp (>= 0.11.2)",NA,"Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"munsell","munsell","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"mvnfast","mvnfast","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.7",NA,NA,"Rcpp (>= 0.12.0)","Rcpp, RcppArmadillo, BH","knitr, rmarkdown, testthat, mvtnorm, microbenchmark, MASS,
plyr, RhpcBLASctl",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"yes","4.0.5"
"mvtnorm","mvtnorm","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1-3",NA,"R(>= 3.5.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"nakagami","nakagami","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.0",NA,NA,"assertthat",NA,"testthat, knitr, covr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"naniar","naniar","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.6.1",NA,"R (>= 3.1.2)","dplyr, ggplot2, purrr, tidyr, tibble (>= 2.0.0), norm,
magrittr, stats, visdat, rlang, forcats, viridis, glue, UpSetR",NA,"knitr, rmarkdown, testthat (>= 2.1.0), rpart, rpart.plot,
covr, gridExtra, wakefield, vdiffr, here, simputation,
imputeTS, gdtools, Hmisc, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"natserv","natserv","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.0",NA,"R(>= 3.2.1)","crul (>= 0.7.0), jsonlite, tibble",NA,"testthat, knitr, vcr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"ncdf4","ncdf4","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.17",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"ncdf4.helpers","ncdf4.helpers","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3-6",NA,"R (>= 2.12.0)","ncdf4, PCICt, abind",NA,"proj4, testthat",NA,"LGPL-2.1",NA,NA,NA,NA,"no","4.0.5"
"ncmeta","ncmeta","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.0",NA,"R (>= 3.3.0)","dplyr, rlang, RNetCDF, tibble, stats, tidyr",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.4"
"network","network","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.17.1",NA,"R (>= 2.10), utils","tibble, magrittr, statnet.common (>= 4.5), stats",NA,"sna, testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"neuralnet","neuralnet","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.44.2",NA,"R (>= 2.9.0)","grid, MASS, grDevices, stats, utils, Deriv",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"NISTunits","NISTunits","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.1",NA,"R (>= 2.7.0)",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"nlme","nlme","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.1-152","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.0.5"
"nloptr","nloptr","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.0.0",NA,NA,NA,"testthat","knitr, rmarkdown, xml2, testthat (>= 3.0.0), covr",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.0.5"
"nnet","nnet","C:/Users/sarah.salois/Documents/r/win-library/4.0","7.3-17","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"noise","noise","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.1",NA,"R (>= 2.10)","preprocessCore",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"norm","norm","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-10.0",NA,NA,"stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"numDeriv","numDeriv","C:/Users/sarah.salois/Documents/r/win-library/4.0","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"oce","oce","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.7-2",NA,"R (>= 2.15), gsw, methods, utils","Rcpp","Rcpp","akima, automap, DBI, foreign, knitr, lubridate, marmap,
ncdf4, ocedata, raster (>= 1.4.3), rgeos, rmarkdown, RSQLite,
R.utils, sf, sp, testthat (>= 3.0.0), tiff, XML",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
